ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD, PRIMERA_PRIORIDAD , SEGUNDA_PRIORIDAD , TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_BASICA_2021,IVE_SINAE_BASICA
13557,7,ESCUELA BASICA REPUBLICA DE ITALIA,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,220,6,7,10,14,257,91
13558,5,INSTITUTO DE ADM. Y COMERCIO ESTADO DE ISRAEL,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,98,8,3,10,1,120,91
13559,3,ESCUELA REPUBLICA DE GRECIA,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,366,10,15,26,4,421,93
13560,7,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,187,6,7,4,2,206,97
13561,5,LIC.DE CIENC.Y HUM.SAN JOSEMARIA ESCRIVA,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,98,2,8,20,1,129,84
13562,3,ESCUELA JUAN PABLO II,Región de Coquimbo,Elqui,Coquimbo,Servicio Local de Educación(SLE),Urbano,222,,12,12,5,251,93
13563,1,COLEGIO NUESTRA SEÑORA DEL ROSARIO,Región de Coquimbo,Elqui,Andacollo,Servicio Local de Educación(SLE),Urbano,140,5,1,11,,157,93
13565,8,COLEGIO MANANTIALES DE ELQUI,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Urbano,317,6,37,87,,447,81
13566,6,ESCUELA SAN LORENZO,Región de Coquimbo,Elqui,Andacollo,Particular Subvencionado,Urbano,110,1,14,15,1,141,89
13570,4,ESCUELA MUNICIPAL VILLA SANTA ROSA,Región de Coquimbo,Choapa,Salamanca,Municipal DAEM,Urbano,33,1,1,4,,39,90
13573,9,COLEGIO TAMELCURA,Región de Coquimbo,Limarí,Ovalle,Particular Subvencionado,Urbano,187,10,30,124,3,354,64
13576,3,LICEO TECNICO PROFESIONAL EDUCADOR JUAN BAUTISTA DE LA SALLE,Región de Coquimbo,Elqui,La Serena,Corporación Municipal,Urbano,44,,3,1,2,50,94
13579,8,COLEGIO SAN ISIDRO,Región de Coquimbo,Limarí,Combarbalá,Particular Subvencionado,Rural,5,1,,2,2,10,60
13580,1,COLEGIO PAULO FREIRE,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Rural,71,4,6,18,,99,82
13582,8,COLEGIO TECNICO PROFESIONAL FLORENCIA NIGHTIN,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Urbano,35,4,3,3,,45,93
13586,0,COLEGIO CHRIST SCHOOL,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Urbano,1.012,30,84,93,5,1.224,92
13590,9,COLEGIO DE ADMINISTRACION Y COMERCIO EL INGENIO,Región de Coquimbo,Limarí,Ovalle,Municipal DAEM,Urbano,191,6,13,9,,219,96
13593,3,COLEGIO EUSEBIO LILLO PUNTA MIRA,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,284,7,19,35,,345,90
13604,2,COLEGIO RAKIDUAM,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,266,18,31,80,1,396,80
13606,9,COLEGIO LEONARDO DA VINCI - VICUÑA,Región de Coquimbo,Elqui,Vicuña,Particular Subvencionado,Urbano,429,3,41,38,2,513,92
13608,5,COLEGIO GOLDEN HIND SCHOOL,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,292,5,27,32,,356,91
13610,7,COLEGIO INTERCULTURAL,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Rural,130,9,16,49,,204,76
